Date,Location ,Suspected Cases,Nr. Of New Cases ,Total Confirmed Cases,Source ,Deaths,Recovered,Contacts Under Follow-up,HCW Contacts Under Follow-up,Total Contacts Under Follow-Up,Cumulative Contacts Under Follow-up,Total Suspected Cases,,
18-Mar-20,FCT,15,0,0,https://ncdc.gov.ng/themes/common/files/sitreps/e38dbfac91ddf317f73ab2c29cc5460e.pdf,0,0,,,,,,,
18-Mar-20,Kano,1,0,0,https://ncdc.gov.ng/themes/common/files/sitreps/e38dbfac91ddf317f73ab2c29cc5460e.pdf,0,0,,,,,,,
18-Mar-20,Lagos,44,4,5,https://ncdc.gov.ng/themes/common/files/sitreps/e38dbfac91ddf317f73ab2c29cc5460e.pdf,0,0,,,,,,,
18-Mar-20,Ogun ,4,0,2,https://ncdc.gov.ng/themes/common/files/sitreps/e38dbfac91ddf317f73ab2c29cc5460e.pdf,0,1,,,,,,,
18-Mar-20,Rivers,1,0,0,https://ncdc.gov.ng/themes/common/files/sitreps/e38dbfac91ddf317f73ab2c29cc5460e.pdf,0,0,,,,,,,
18-Mar-20,Yobe,1,0,0,https://ncdc.gov.ng/themes/common/files/sitreps/e38dbfac91ddf317f73ab2c29cc5460e.pdf,0,0,,,,,,,
19-Mar-20,A/Ibom,1,0,0,https://ncdc.gov.ng/themes/common/files/sitreps/489b818e56a27c65778dccc075caae48.pdf,0,0,,,,,,,
19-Mar-20,Edo ,1,0,0,https://ncdc.gov.ng/themes/common/files/sitreps/489b818e56a27c65778dccc075caae48.pdf,0,0,,,,,,,
19-Mar-20,Ekiti,1,1,1,https://ncdc.gov.ng/themes/common/files/sitreps/489b818e56a27c65778dccc075caae48.pdf,0,0,,,,,,,
19-Mar-20,Enugu,1,0,0,https://ncdc.gov.ng/themes/common/files/sitreps/489b818e56a27c65778dccc075caae48.pdf,0,0,,,,,,,
19-Mar-20,FCT,16,0,0,https://ncdc.gov.ng/themes/common/files/sitreps/489b818e56a27c65778dccc075caae48.pdf,0,0,,,,,,,
19-Mar-20,Kano,2,0,0,https://ncdc.gov.ng/themes/common/files/sitreps/489b818e56a27c65778dccc075caae48.pdf,0,0,,,,,,,
19-Mar-20,Katsina,1,0,0,https://ncdc.gov.ng/themes/common/files/sitreps/489b818e56a27c65778dccc075caae48.pdf,0,0,,,,,,,
19-Mar-20,Lagos,56,4,9,https://ncdc.gov.ng/themes/common/files/sitreps/489b818e56a27c65778dccc075caae48.pdf,0,0,,,,,,,
19-Mar-20,Nassarawa,5,0,0,https://ncdc.gov.ng/themes/common/files/sitreps/489b818e56a27c65778dccc075caae48.pdf,0,0,,,,,,,
19-Mar-20,Ogun ,4,0,2,https://ncdc.gov.ng/themes/common/files/sitreps/489b818e56a27c65778dccc075caae48.pdf,0,1,,,,,,,
19-Mar-20,Ondo,1,0,0,https://ncdc.gov.ng/themes/common/files/sitreps/489b818e56a27c65778dccc075caae48.pdf,0,0,,,,,,,
19-Mar-20,Rivers,1,0,0,https://ncdc.gov.ng/themes/common/files/sitreps/489b818e56a27c65778dccc075caae48.pdf,0,0,,,,,,,
19-Mar-20,Yobe,1,0,0,https://ncdc.gov.ng/themes/common/files/sitreps/489b818e56a27c65778dccc075caae48.pdf,0,0,,,,,,,
22-Mar-20,Adamawa,1,0,0,https://ncdc.gov.ng/themes/common/files/sitreps/c596d7ff619e86a5e2bb42a4b726c040.pdf,0,0,,,,,,Change of template,
